,username,tweet,cluster
379,1010ellen,@gman75   oh my   are you saying that you don t accomplish things on your to do list   That s not true   you accomplish things ,34
380,101110,@smts41 oh no  why  ,34
407,1041pm,@allegra0 oh bb  so many hugs to right now     lt 3 @allegra0 oh bb  so many hugs to you right now     lt 3 @enginesfailing i couldn t see them either   Blaring Franz Ferdinand s  quot What She Came For quot    sexy  ,34
414,105Ross,Waking up  drinking coffee  and checking out Harper s Globe   Man am I addicted   Raining outside   Yucky day   Want to go running Can t   said no because she wants to go on the field trip today which is happening whether it s storming or not   So no sleeping in for me   @BigYellowHero Thanks    @FemaleProdigy Oh  I cant  wait for this to start     Off to Harper s Globe to see what craziness if going on  @officespacejk  Play golf  Mow later   #harpersglobe,34
606,12haasen,@mymaki @rehkoenigin marimekko  frankfurt  oh  ich will auch ,34
627,130274,oh well getting another bad headache  so am going to lay down is 11pm here  be back tomorrow  night or morning everyone  waves Hopefully Fremantle will cheer me up  @WestHamProcess Happy to caddy ,34
687,13sy,oh qt pie your birthday today ah merry christmas and you are still younger than me ,34
696,13tracy,And yet another evening spent watching wreslting with my son  Oh how I miss the days when wrestling was only on once a week  I will be soooo glad when we have a break in soccer  but if kiddo doesn t make the team  we will have a permanent break ,34
842,1945suicide,@foodandhowtoeat DAMN IT MS   YOU HAD MY HOPES UP       BOO TO THE CURE oh where oh where is my chris moose   why hasn t he returned my calls  @mytwinsnme no Jen wouldn t let me  @mytwinsnme the same     @Bodyspeaks get one of those glass display things and place em all in there and hang it up on your wall  @foodandhowtoeat wonder if your grampo knew my grampo ,34
909,19daveed84,oh my god  phone is seriously dead   had to pay 50 bucks for insurance deductible  ugh,34
913,19george,forgot to eat  Now I don t have time  has stomach cramps  @Oh Yeah Big J Its a MacBook Pro   There s nothing wrong with the machine it s my parents insanely slow Internet  Seriously like dialup   has only 15 shifts left   @mydeco Jo  hello  I see a lot about Grand Designs on your feed  Sound exciting  I LOVE Grand Designs  @Oh Yeah Big J Lauren and I are meeting  ,34
1034,1Markanthony,looks like i won t be getting a phone today  oh noez i changed my default and twitter is being so gay i can t change it back ,34
1252,1luvRyRy,FINALLY GOT THIS TWITTER    1LUVRYRY     OH YEA I LOVE ME SOME CHRISSSYLOVEEE ,34
1322,1pxsolid,@katyand oh no  all my own IP  Just three guys keen to make an app ,34
1327,1raymo,@ShaeFreeman Oh yeah  those 4am diaper change feedings are all I live for    but not really  @mesthejive I m so scared  ,34
1374,1sweet_gyrl,whu@ a lotta a work   oh man  that sucks   i m sooo excited that birthday is tomorrow  which will be in 15 mins   I thank the Lord for my birthday and for blessing and keeping me  @whu i talked to edynn tonight and she s not feeling well so you might want to check on her later on tomorrow   @whu no problem   how was your day yesterday ,34
1394,1unreadmessage,3am i still cant sleep  I wanna eat  Oh my gosh if this isnt the saddest movie i ve ever seen    i just wanna cry  actually i just wanna stop crying Oh i m watching that sad movie again  I miss the sims  I just want a guy that ll treat me nice   where are all those guys  Oh and by the way  I M NOT GETTING FAT  i m still losing ,34
1463,20december,ouchies  I got hit in the face with a ping pong paddle today  @qwertyx7 yep  I have a bump there and it hurts  @itsBENyo Last day is  June 12  11th is graduation   That s unfortunate for you  oh my god  English and math finals tomorrow  Fuuuckkkk  I got wax on my right boob ,34
1507,21niko21,@juniperus Home       you win    @kourtnie Oh sweet  Except it makes me think of Swayze being very sick    sucks   I wish I got more than 2 hrs  of sleep so I could appreciate that this horrible week is finally over   ,34
1530,22JoM06,@tweeplecard THX  it s working @jillesdotcom oh  seems that it s not accessable in germany ,34
1585,24Jessica48,Jeff Gordon goes into a back up car         he can win it on sunday  I want some NASCAR  cannot wait for tomorrows race Cannot wait for tomorrows race  Go Jeff Gordon     Get up there and get them  Oh YEAH I just got Coke  Zero 400 tickets  I am like so excited   ,34
1793,2dopenoni,OMG why does everyone judge  Oh and I am getting tired of people shopping during SALES dont they know thats when I shoo     Cant believ it I had the worst day eva it totally sucked   I hope everyone else had great progress  NOT  SIKE    ,34
1832,2jules7,@eric extacy lol i know eric  i wont delete you  just people i dont really know and never talk  and bands  shutting the computer down  the one time i dont want a thunder storm  oh well it better dry up before wed   i  lt 3 thunder storms  Aww  I wanna go poke sleeping people in the airport      why wont facebook work     my crops are going to die       i think im going to go watch some more 80s movies  oh darnit  all my crops are going to die tomorrow because i wont be able to harvest them   @MacZombieRawr he wants your popsicles   muahahaha  i sent him for some  we re almost out  it makes me sad no one ever stays awake as late as i do   aha  i had my nephew outside    in the rail     time to shut the computer off   @bmariea Hahaha  if you say so   oh and you must try this banana nut cheereo cereal  ohman  its like eating cruchy banana bread  bah its sooo good  ,34
1840,2kutekreations,@fortheloveofveg yes  I am gonna print some labels    I ordered new ones last nite  @bibs4drips the humidity makes me sicker  so I am sitting here  stuck in front of a fan and a c is blasting @heathenshearth not much going on here     gotta tackle this dirty house but I am reacting badly to lack of meds  @VConfections oh you have insomnia too  I havent been able to sleep without the help of aids since 2000  @heathenshearth hey hun    nuffin good about this morning  @deirdreryan oh you too hun  I was on COBRA and had to cancel  could not make payments anymore   son asked for a ride and I couldnt take him  cannot drive today  such a bad mother @MonkeyThreads I cant till I make another sale  spent too much money already  like almost all  @flirtbuttons that is so sad eh    I blocked 2 of them about 10 min ago  not the first ones of the day  @heathenshearth wow  sad that the lost their cat  but they can have the triplets and give them a good home yay @bibs4drips I am here  sitting and tweeting  too hot to do anything  almost 100 already  @ohsoretro here too  its at 93  right now  @NeonCanvas you too hun  I do hope it will be better  I can take only so many bad days in a row  @PaperCakes sorry I got coffee too    looking for some yummy breakfast  @londicreations oh that would be awesome hun    I really need to start working on some inventory for fall and xmas  @cameron crazy I saw the pic of the sleepy one    my son has a tux     he is 2 yrs old and a brat   not the son  the cat  @londicreations  wove ya @Grannny63 yes I saw you there ,34
1928,2tonetom,@brieasaurus i guess your cooler than me  tony hawk never replied to me  @brieasaurus haha yeah  oh well im just going to go and be emo now ,34
1943,2wit2u,@cartoonluv3k Oh right   LMAO    I tried    they never twittered back      LOL,34
